time_period,year,region_name,population,starts,starts_rate_per_100000_population,achievements_rate_per_100000_population
2005/06,2005,East Midlands,2799469,16920,604,363
2006/07,2006,East Midlands,2833494,17430,615,388
2007/08,2007,East Midlands,2862836,21700,758,374
2008/09,2008,East Midlands,2882436,22180,769,472
2009/10,2009,East Midlands,2893509,24620,851,555
2010/11,2010,East Midlands,2908899,40860,1405,612
2011/12,2011,East Midlands,2919158,46790,1603,811
2012/13,2012,East Midlands,2916044,49010,1681,807
2013/14,2013,East Midlands,2920926,40290,1379,833
2014/15,2014,East Midlands,2931881,48060,1639,833
2015/16,2015,East Midlands,2948132,48080,1631,869
2016/17,2016,East Midlands,2972061,47540,1600,878
2005/06,2005,East of England,3548702,15940,449,250
2006/07,2006,East of England,3586629,16800,468,277
2007/08,2007,East of England,3620187,21030,581,276
2008/09,2008,East of England,3649304,21170,580,341
2009/10,2009,East of England,3665808,23730,647,410
2010/11,2010,East of England,3694277,39760,1076,469
2011/12,2011,East of England,3719075,45820,1232,593
2012/13,2012,East of England,3719105,46220,1243,599
2013/14,2013,East of England,3734063,40430,1083,615
2014/15,2014,East of England,3761865,45790,1217,635
2015/16,2015,East of England,3787652,46650,1232,649
2016/17,2016,East of England,3818435,44950,1177,662
2005/06,2005,London,5150699,11010,214,103
2006/07,2006,London,5221068,11090,212,120
2007/08,2007,London,5298039,14520,274,117
2008/09,2008,London,5387169,17180,319,160
2009/10,2009,London,5478584,20350,371,215
2010/11,2010,London,5558486,41400,745,262
2011/12,2011,London,5664416,47230,834,379
2012/13,2012,London,5726145,45070,787,365
2013/14,2013,London,5800997,40050,690,358
2014/15,2014,London,5873113,45550,776,378
2015/16,2015,London,5955594,46280,777,401
2016/17,2016,London,6010793,44380,738,396
2005/06,2005,North East,1643239,13460,819,439
2006/07,2006,North East,1651943,12640,765,482
2007/08,2007,North East,1663504,16650,1001,459
2008/09,2008,North East,1670736,17230,1031,598
2009/10,2009,North East,1674451,18510,1105,706
2010/11,2010,North East,1679691,34550,2057,872
2011/12,2011,North East,1681674,38340,2280,1180
2012/13,2012,North East,1668762,35870,2149,1139
2013/14,2013,North East,1662338,30480,1834,1085
2014/15,2014,North East,1657915,35220,2124,1123
2015/16,2015,North East,1651471,38210,2314,1192
2016/17,2016,North East,1647815,33940,2060,1291
2005/06,2005,North West,4421943,29630,670,375
2006/07,2006,North West,4459156,32220,723,433
2007/08,2007,North West,4489262,35480,790,423
2008/09,2008,North West,4510595,36530,810,505
2009/10,2009,North West,4522996,47280,1045,595
2010/11,2010,North West,4538567,78660,1733,748
2011/12,2011,North West,4552765,89310,1962,971
2012/13,2012,North West,4527876,84180,1859,959
2013/14,2013,North West,4519042,71670,1586,950
2014/15,2014,North West,4518731,79310,1755,940
2015/16,2015,North West,4530458,80820,1784,947
2016/17,2016,North West,4548474,79720,1753,950
2005/06,2005,South East,5266296,23440,445,255
2006/07,2006,South East,5325115,26520,498,279
2007/08,2007,South East,5381984,32160,598,303
2008/09,2008,South East,5423395,35040,646,380
2009/10,2009,South East,5447741,39120,718,465
2010/11,2010,South East,5487698,58340,1063,517
2011/12,2011,South East,5513564,66850,1212,612
2012/13,2012,South East,5517414,68960,1250,610
2013/14,2013,South East,5537561,60220,1087,628
2014/15,2014,South East,5569698,65030,1168,637
2015/16,2015,South East,5605826,65290,1165,649
2016/17,2016,South East,5647544,63590,1126,649
2005/06,2005,South West,3211605,19050,593,350
2006/07,2006,South West,3244627,20810,641,374
2007/08,2007,South West,3283868,25280,770,382
2008/09,2008,South West,3299149,27790,842,522
2009/10,2009,South West,3301189,35020,1061,652
2010/11,2010,South West,3313080,49330,1489,739
2011/12,2011,South West,3326352,55950,1682,850
2012/13,2012,South West,3316083,52540,1584,823
2013/14,2013,South West,3321006,45960,1384,835
2014/15,2014,South West,3333261,51480,1544,854
2015/16,2015,South West,3354821,54160,1614,867
2016/17,2016,South West,3380755,53550,1584,901
2005/06,2005,West Midlands,3431491,20760,605,357
2006/07,2006,West Midlands,3463300,20150,582,395
2007/08,2007,West Midlands,3491341,25430,728,389
2008/09,2008,West Midlands,3516742,27860,792,491
2009/10,2009,West Midlands,3525232,31720,900,551
2010/11,2010,West Midlands,3541207,54290,1533,649
2011/12,2011,West Midlands,3561093,60470,1698,837
2012/13,2012,West Midlands,3555590,62430,1756,833
2013/14,2013,West Midlands,3562521,52410,1471,885
2014/15,2014,West Midlands,3572235,61240,1714,878
2015/16,2015,West Midlands,3587281,60910,1698,927
2016/17,2016,West Midlands,3616049,60330,1668,922
2005/06,2005,Yorkshire and The Humber,3296402,22420,680,386
2006/07,2006,Yorkshire and The Humber,3322437,24140,727,468
2007/08,2007,Yorkshire and The Humber,3349351,29300,875,459
2008/09,2008,Yorkshire and The Humber,3373479,32170,954,570
2009/10,2009,Yorkshire and The Humber,3382687,36530,1080,654
2010/11,2010,Yorkshire and The Humber,3396140,55800,1643,728
2011/12,2011,Yorkshire and The Humber,3409275,64200,1883,956
2012/13,2012,Yorkshire and The Humber,3399972,59900,1762,891
2013/14,2013,Yorkshire and The Humber,3395334,53120,1564,898
2014/15,2014,Yorkshire and The Humber,3391621,62550,1844,931
2015/16,2015,Yorkshire and The Humber,3393464,63520,1872,996
2016/17,2016,Yorkshire and The Humber,3402093,61150,1797,1033
